,,Reservoir Level_Tracking,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Monthly Gauge Readings,,,,,,,,,,
,,,,,,,,,,,
,Dam Info,,,,,Hydrology,,,,,
,,Gauge Data,,,,Flow,,Quality,,Climate,
month,,level_ft,capacity_pct,,inflow_cfs,outflow_cfs,,turbidity_ntu,temp_f,precip_in
Jan,,43.1,66.3,,92,141,,8.2,28.4,0.65
Feb,,43.0,66.2,,95,140,,8.5,30.1,0.71
Mar,,44.2,68.0,,148,143,,12.8,38.5,1.05
Apr,,47.8,73.5,,265,155,,22.4,48.2,1.18
May,,51.6,79.4,,310,168,,27.1,58.6,0.92
Jun,,52.9,81.4,,285,182,,23.8,68.4,0.74
Jul,,51.2,78.8,,195,193,,16.2,76.1,0.38
Aug,,48.5,74.6,,140,190,,11.8,74.8,0.42
Sep,,45.8,70.5,,105,178,,9.4,65.2,0.58
Oct,,44.1,67.8,,88,162,,8.1,52.4,0.72
Nov,,43.5,66.9,,85,150,,7.8,40.1,0.80
Dec,,43.2,66.5,,90,144,,8.0,30.8,0.68
