,,Weather Monitoring_Summary,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Monthly Averages,,,,,,,,,,
,,,,,,,,,,,
,Station Data,,,,,Climate Measurements,,,,,
,,Station Info,,,,Temperature,,Precipitation,,Wind,
sensor_ref,,month,elevation_ft,,region,avg_temp,humidity_pct,,precip_mm,wind_speed_mph,notes
WX-114,,1,820,,NW,31.2,68,,42.1,12.3,
WX-114,,2,820,,NW,34.8,65,,38.5,11.8,
WX-114,,3,820,,NW,44.1,62,,45.2,13.1,
WX-114,,4,820,,NW,54.7,58,,51.8,10.2,
WX-114,,5,820,,NW,64.2,61,,62.4,8.9,
WX-114,,6,820,,NW,73.8,64,,58.1,7.4,
WX-114,,7,820,,NW,79.4,67,,41.3,6.8,
WX-114,,8,820,,NW,77.1,69,,44.7,7.1,
WX-114,,9,820,,NW,68.3,65,,52.6,8.5,
WX-114,,10,820,,NW,56.1,63,,55.8,10.7,
WX-114,,11,820,,NW,42.5,67,,48.3,12.1,
WX-114,,12,820,,NW,33.4,70,,44.9,12.8,
WX-207,,1,1150,,NE,28.4,72,,55.3,14.1,
WX-207,,2,1150,,NE,31.6,69,,49.8,13.5,
WX-207,,3,1150,,NE,41.2,66,,58.1,14.8,
WX-207,,4,1150,,NE,51.8,61,,64.2,11.7,
WX-207,,5,1150,,NE,61.5,63,,75.1,10.2,
WX-207,,6,1150,,NE,70.9,66,,68.4,8.6,
WX-207,,7,1150,,NE,76.2,70,,52.7,7.9,
WX-207,,8,1150,,NE,74.3,72,,56.1,8.3,
WX-207,,9,1150,,NE,65.1,68,,63.8,9.8,
WX-207,,10,1150,,NE,53.4,66,,59.2,12.3,
WX-207,,11,1150,,NE,39.8,70,,52.7,13.9,
WX-207,,12,1150,,NE,30.1,74,,50.3,14.6,
WX-330,,1,450,,SE,35.8,74,,38.2,9.8,
WX-330,,2,450,,SE,38.9,71,,34.1,9.3,
WX-330,,3,450,,SE,48.3,67,,41.8,10.5,
WX-330,,4,450,,SE,58.1,63,,48.5,8.4,
WX-330,,5,450,,SE,67.8,65,,55.2,7.1,
WX-330,,6,450,,SE,76.4,68,,50.8,6.2,
WX-330,,7,450,,SE,82.1,72,,35.4,5.5,
WX-330,,8,450,,SE,80.5,74,,38.9,5.8,
WX-330,,9,450,,SE,72.1,70,,47.3,7.2,
WX-330,,10,450,,SE,59.7,67,,51.1,8.9,
WX-330,,11,450,,SE,46.2,71,,43.5,9.7,
WX-330,,12,450,,SE,37.3,75,,39.8,10.1,
WX-445,,1,680,,SW,33.1,70,,44.8,11.5,
WX-445,,2,680,,SW,36.2,67,,40.2,10.9,
WX-445,,3,680,,SW,46.5,64,,48.7,12.2,
WX-445,,4,680,,SW,56.8,59,,54.1,9.5,
WX-445,,5,680,,SW,66.1,62,,66.8,8.1,
WX-445,,6,680,,SW,75.2,65,,60.5,6.9,
WX-445,,7,680,,SW,80.8,69,,43.2,6.1,
WX-445,,8,680,,SW,78.9,71,,46.8,6.5,
WX-445,,9,680,,SW,70.2,67,,55.1,7.8,
WX-445,,10,680,,SW,57.8,64,,58.4,9.8,
WX-445,,11,680,,SW,44.1,68,,50.1,11.3,
WX-445,,12,680,,SW,35.2,72,,46.5,11.9,
WX-512,,1,960,,NW,29.8,71,,48.5,13.2,
WX-512,,2,960,,NW,32.9,68,,43.9,12.6,
WX-512,,3,960,,NW,42.7,65,,51.4,13.9,
WX-512,,4,960,,NW,53.1,60,,57.6,10.8,
WX-512,,5,960,,NW,62.8,63,,68.9,9.4,
WX-512,,6,960,,NW,72.1,66,,62.3,7.8,
WX-512,,7,960,,NW,77.9,69,,46.8,7.1,
WX-512,,8,960,,NW,75.8,71,,50.2,7.5,
WX-512,,9,960,,NW,66.9,67,,58.4,8.9,
WX-512,,10,960,,NW,54.8,65,,57.1,11.2,
WX-512,,11,960,,NW,41.2,69,,50.8,12.8,
WX-512,,12,960,,NW,31.7,73,,47.2,13.4,
WX-601,,1,530,,Central valley region south of the river near old highway station,36.4,69,,40.1,10.1,relocated sensor
